Date,Open,High,Low,Close,Adj Close,Volume,7Fast_EMA,21Slow_EMA,7MACD,7Signal,4Fast_EMA,47Slow_EMA,4MACD,4Signal,ADX,RSI,Stoch,Oversold,Buy_Signal,Sell_Signal,Cash,Stock_Value,Total,Daliy_PNL,Quantity,Dropdown,Excess_Return
2019-03-25,13.765,13.9925,13.545,13.85,13.494443,105184800,,,,,,,,,,,,False,False,False,100000.0,0.0,100000.0,0.0,0.0,0.0,0.999806369493456
2019-03-26,14.1725,14.42,13.8275,14.04,13.679565,87936000,,,,,,,,,,,,False,False,False,100000.0,0.0,100000.0,0.0,0.0,0.0,0.999806369493456
2019-03-27,14.0975,14.195,13.4625,13.765,13.411627,88405200,,,,,,,,,,,,False,False,False,100000.0,0.0,100000.0,0.0,0.0,0.0,0.999806369493456
2019-03-28,13.8675,14.0075,13.6075,13.8525,13.49688,64218800,,,,,13.876875,,,,,50.226244343891366,42.417505057075836,False,False,False,100000.0,0.0,100000.0,0.0,0.0,0.0,0.999806369493456
2019-03-29,14.1575,14.205,13.92,14.165,13.801357,63490000,,,,,13.992125,,,,,73.07221542227667,73.27388007482813,False,False,False,100000.0,0.0,100000.0,0.0,0.0,0.0,0.999806369493456
2019-04-01,14.575,14.775,14.425,14.7225,14.344545,61182400,,,,,14.284275,,,,,87.91540785498495,93.5825442266754,False,False,False,100000.0,0.0,100000.0,0.0,0.0,0.0,0.999806369493456
2019-04-02,14.7725,14.93,14.6575,14.885,14.502873,53364400,14.182857142857143,,,,14.524564999999999,,,,,90.26225517317698,92.47437901684904,False,False,False,100000.0,0.0,100000.0,0.0,0.0,0.0,0.999806369493456
2019-04-03,15.135,15.4225,15.0025,15.1425,14.753761,75692000,14.422767857142858,,,,14.771739,,,,,93.33762350001896,77.24390086067432,False,False,False,100000.0,0.0,100000.0,0.0,0.0,0.0,0.999806369493456
2019-04-04,15.145,15.32,14.8575,15.12,14.731839,71810400,14.597075892857143,,,,14.9110434,,,,,89.62759673579168,54.929434900803955,False,False,False,100000.0,0.0,100000.0,0.0,0.0,0.0,0.999806369493456
2019-04-05,15.265,15.375,15.195,15.3475,14.9535,52327200,14.784681919642857,,,,15.085626040000001,,,,,93.52878144471339,70.57308366465732,False,False,False,100000.0,0.0,100000.0,0.0,0.0,0.0,0.999806369493456
