Date,Open,High,Low,Close,Adj Close,Volume
2019-03-25,13.765000,13.992500,13.545000,13.850000,13.494443,105184800
2019-03-26,14.172500,14.420000,13.827500,14.040000,13.679565,87936000
2019-03-27,14.097500,14.195000,13.462500,13.765000,13.411627,88405200
2019-03-28,13.867500,14.007500,13.607500,13.852500,13.496880,64218800
2019-03-29,14.157500,14.205000,13.920000,14.165000,13.801357,63490000
2019-04-01,14.575000,14.775000,14.425000,14.722500,14.344545,61182400
2019-04-02,14.772500,14.930000,14.657500,14.885000,14.502873,53364400
2019-04-03,15.135000,15.422500,15.002500,15.142500,14.753761,75692000
2019-04-04,15.145000,15.320000,14.857500,15.120000,14.731839,71810400
2019-04-05,15.265000,15.375000,15.195000,15.347500,14.953500,52327200
2019-04-08,15.270000,15.497500,15.090000,15.467500,15.070419,51730000
2019-04-09,15.310000,15.457500,15.200000,15.297500,14.904782,52060800
2019-04-10,15.365000,15.555000,15.307500,15.545000,15.145928,49622000
2019-04-11,15.602500,15.607500,15.340000,15.427500,15.031446,55885200
2019-04-12,15.625000,15.650000,15.432500,15.617500,15.216569,47614000
2019-04-15,15.617500,15.680000,15.315000,15.630000,15.228747,41684800
2019-04-16,15.787500,15.887500,15.647500,15.782500,15.377333,47143600
2019-04-17,16.090000,16.139999,15.802500,15.940000,15.530788,57211200
2019-04-18,16.020000,16.027500,15.717500,15.990000,15.579506,45951600
2019-04-22,15.787500,16.147499,15.750000,16.125000,15.711041,37878400
2019-04-23,16.252501,16.799999,16.182501,16.737499,16.307816,52477200
2019-04-24,16.775000,16.844999,16.567499,16.575001,16.149487,47537600
2019-04-25,16.942499,16.962500,16.507500,16.760000,16.329739,59845200
2019-04-26,16.702499,16.825001,16.275000,16.820000,16.388199,55258400
2019-04-29,16.815001,16.992500,16.735001,16.910000,16.475887,41898800
2019-04-30,16.500000,16.602501,16.167500,16.522499,16.098335,63797600
2019-05-01,16.830000,16.977501,16.315001,16.332500,15.913216,62958000
2019-05-02,16.337500,16.582500,15.812500,16.132500,15.718348,70644400
2019-05-03,16.535000,16.937500,16.447500,16.892500,16.458836,54444800
2019-05-06,15.827500,16.655001,15.740000,16.590000,16.164103,80857600
2019-05-07,16.052500,16.254999,15.160000,15.625000,15.223875,118764800
2019-05-08,15.467500,15.847500,15.297500,15.487500,15.089907,80618800
2019-05-09,14.990000,15.397500,14.567500,15.242500,14.851196,110208800
2019-05-10,15.060000,15.507500,14.310000,15.285000,14.892605,113929200
2019-05-13,14.120000,14.357500,13.567500,13.705000,13.353166,117460400
2019-05-14,13.905000,14.395000,13.757500,14.135000,13.772127,70096000
2019-05-15,13.865000,14.847500,13.847500,14.722500,14.344545,88080000
2019-05-16,14.750000,15.455000,14.702500,15.182500,14.792734,87013200
2019-05-17,14.722500,15.335000,14.667500,14.710000,14.332366,91255200
2019-05-20,14.095000,14.257500,13.812500,13.972500,13.613799,92184400
2019-05-21,14.317500,14.510000,14.182500,14.392500,14.023016,57243600
2019-05-22,14.145000,14.445000,14.140000,14.205000,13.840329,64456400
2019-05-23,13.715000,13.720000,13.277500,13.535000,13.187531,103840400
2019-05-24,13.767500,13.900000,13.470000,13.515000,13.168044,68612800
2019-05-28,13.635000,13.852500,13.357500,13.370000,13.026765,58451600
2019-05-29,13.122500,13.250000,12.815000,13.035000,12.700367,88960800
2019-05-30,13.132500,13.295000,12.960000,13.190000,12.851386,68214000
2019-05-31,12.717500,12.852500,12.535000,12.555000,12.232689,70300400
2019-06-03,12.455000,12.550000,11.532500,11.752500,11.450789,120906400
2019-06-04,12.100000,12.720000,11.977500,12.705000,12.378838,81934800
2019-06-05,13.072500,13.080000,12.592500,12.985000,12.651649,76158400
2019-06-06,13.050000,13.387500,12.877500,13.285000,12.943948,50151200
2019-06-07,13.500000,14.230000,13.455000,14.042500,13.682001,75774000
2019-06-10,14.340000,14.955000,14.340000,14.555000,14.181344,91636000
2019-06-11,15.015000,15.092500,14.462500,14.610000,14.234933,68723600
2019-06-12,14.482500,14.575000,14.275000,14.362500,13.993788,55088000
2019-06-13,14.532500,14.707500,14.445000,14.597500,14.222753,49279600
2019-06-14,14.367500,14.525000,14.247500,14.407500,14.037632,38572400
2019-06-17,14.497500,14.792500,14.460000,14.670000,14.293392,37525200
2019-06-18,15.187500,15.622500,15.077500,15.305000,14.912091,70914800
2019-06-19,15.382500,15.590000,15.100000,15.485000,15.087469,68489600
2019-06-20,16.122499,16.132500,15.557500,15.910000,15.501559,59677600
2019-06-21,15.827500,16.135000,15.737500,15.837500,15.430921,52323200
2019-06-24,15.922500,15.972500,15.802500,15.832500,15.426050,34469200
2019-06-25,15.795000,15.820000,14.945000,15.022500,14.636843,69811600
2019-06-26,15.305000,15.595000,15.150000,15.212500,14.821965,47057600
2019-06-27,15.377500,15.497500,15.262500,15.377500,14.982729,37635200
2019-06-28,15.495000,15.547500,15.277500,15.442500,15.046060,49466400
2019-07-01,16.325001,16.387501,15.847500,16.057501,15.645274,72410400
2019-07-02,16.040001,16.252501,15.910000,16.252501,15.835266,40624400
2019-07-03,16.355000,16.612499,16.315001,16.612499,16.186026,33563600
2019-07-05,16.272499,16.597500,16.077499,16.504999,16.081282,58422400
2019-07-08,16.197500,16.200001,15.955000,16.157499,15.742704,52893600
2019-07-09,15.917500,16.455000,15.882500,16.400000,15.978979,44297600
2019-07-10,16.700001,17.022499,16.600000,16.885000,16.451529,77054800
2019-07-11,16.967501,17.075001,16.677500,16.840000,16.407684,63924800
2019-07-12,16.887501,17.127501,16.844999,17.122499,16.682930,44596400
2019-07-15,17.240000,17.297501,17.102501,17.267500,16.824209,36697200
2019-07-16,17.212500,17.270000,16.860001,17.022499,16.585499,55996000
2019-07-17,17.030001,17.107500,16.760000,16.770000,16.339481,46254000
2019-07-18,16.522499,16.915001,16.357500,16.842501,16.410122,67784000
2019-07-19,17.174999,17.174999,16.392500,16.434999,16.013081,70389600
2019-07-22,16.559999,16.932501,16.555000,16.822500,16.390633,47753200
2019-07-23,17.102501,17.155001,16.760000,17.147499,16.707289,58024800
2019-07-24,16.959999,17.512501,16.950001,17.512501,17.062923,54622400
2019-07-25,17.334999,17.337500,16.910000,17.012501,16.575758,75037600
2019-07-26,17.325001,17.597500,17.305000,17.517500,17.067793,55739200
2019-07-29,17.490000,17.490000,17.017500,17.355000,16.909462,56637600
2019-07-30,16.955000,17.320000,16.915001,17.122499,16.682930,55752000
2019-07-31,17.257500,17.287500,15.925000,16.400000,15.978979,98170400
2019-08-01,16.490000,17.400000,15.910000,16.170000,15.754884,149192400
2019-08-02,15.800000,15.857500,15.150000,15.430000,15.033882,123460000
2019-08-05,14.485000,14.485000,13.420000,13.810000,13.455471,151242400
2019-08-06,14.180000,14.495000,13.875000,14.377500,14.008402,106770400
2019-08-07,13.902500,14.657500,13.575000,14.587500,14.213010,153954400
2019-08-08,14.810000,15.557500,14.672500,15.552500,15.153236,109528000
2019-08-09,15.315000,15.480000,14.742500,15.092500,14.705046,110683200
2019-08-12,14.820000,14.957500,14.380000,14.587500,14.213010,106655600
2019-08-13,14.560000,15.847500,14.500000,15.545000,15.145928,119629600
2019-08-14,14.787500,14.935000,14.065000,14.152500,13.789178,152465200
2019-08-15,14.225000,14.330000,13.767500,14.092500,13.730718,104469600
2019-08-16,14.445000,14.872500,14.445000,14.742500,14.364032,82202800
